city,state,price,year,make,model,condition,cylinders,fuel,odometer,title,transmission,drive,size,type,color,lat,long
Colchester,VT,12998,2014,toyota,tacoma,excellent,4 cylinders,gas,94705,clean,automatic,rwd,full-size,truck,white,44.834423,-73.074703
inland empire,CA,3800,2004,chevrolet,tahoe,good,8 cylinders,gas,45000,clean,automatic,rwd,mid-size,SUV,silver,33.908115,-117.47068
inland empire,CA,6500,2012,nissan,versa sl,like new,4 cylinders,gas,86400,clean,automatic,fwd,compact,sedan,blue,34.0831,-117.2711
Pennsville,DE,1750,2008,chrysler,pt cruiser,good,4 cylinders,gas,115959,clean,automatic,fwd,mid-size,wagon,black,38.8613,-75.4
boston,MA,26995,2016,jeep,wrangler unlimited sport,excellent,6 cylinders,gas,31155,clean,automatic,4wd,full-size,SUV,black,42.0718,-72.6751
rochester,NY,13000,2006,bmw,550i,excellent,8 cylinders,gas,90000,clean,manual,rwd,mid-size,sedan,black,43.2196,-77.4616
rochester,NY,5995,2005,toyota,solara camry convertible,excellent,6 cylinders,gas,130000,clean,automatic,fwd,mid-size,convertible,white,43.222218,-77.835595
chicago,IL,14900,2010,chevrolet,suburban 4wd rust free texas suv,excellent,8 cylinders,gas,146838,clean,automatic,4wd,full-size,SUV,silver,41.513609,-88.075109
green bay,WI,10259,2013,chevrolet,equinox,excellent,4 cylinders,gas,121190,clean,automatic,4wd,mid-size,SUV,green,44.52039,-88.06645
ft myers ,FL,8995,2013,hyundai,veloster,good,4 cylinders,gas,55325,clean,automatic,fwd,mid-size,coupe,grey,26.6204,-81.8725
treasure coast,FL,5600,2010,volkswagen,passat,excellent,4 cylinders,gas,100000,clean,automatic,fwd,full-size,sedan,black,27.2655,-80.3389
little rock,AR,0,2011,chevrolet,suburban ltz,good,8 cylinders,gas,185355,clean,automatic,rwd,full-size,SUV,white,33.211626,-92.65684
south jersey,NJ,9995,2010,cadillac,cts,excellent,6 cylinders,gas,83095,clean,automatic,rwd,mid-size,sedan,black,39.634381,-74.80520899999999
nashville,TN,16900,2012,ford,f250 4x4,excellent,8 cylinders,gas,136596,clean,automatic,4wd,full-size,truck,white,35.841559000000004,-86.38964399999999
milwaukee,WI,1995,2003,chevrolet,trailblazer lt,good,6 cylinders,gas,180703,clean,automatic,4wd,full-size,SUV,red,43.443447,-88.54499799999999
watertown,NY,23990,2014,chevrolet,silverado,excellent,8 cylinders,gas,59785,clean,automatic,4wd,full-size,truck,black,43.153076,-75.926857
new york city,NY,3900,2014,toyota,camry 4c hybrid,like new,4 cylinders,gas,310563,clean,automatic,fwd,full-size,sedan,yellow,40.637277000000005,-74.127847
boulder,CO,12995,2013,nissan,frontier,good,6 cylinders,gas,124182,clean,automatic,4wd,full-size,truck,custom,40.1779,-105.1009
janesville,WI,2600,2008,saturn,vue,good,4 cylinders,gas,207550,clean,automatic,fwd,mid-size,SUV,orange,42.3295,-89.0335
south coast,MA,8500,2011,honda,crv lx awd,excellent,4 cylinders,gas,49000,clean,automatic,4wd,mid-size,SUV,brown,41.8353,-71.0765
killeen ,TX,3750,2003,ford,mustang,good,8 cylinders,gas,153874,clean,automatic,rwd,compact,coupe,red,31.0895,-97.3343
montgomery,AL,26950,2016,chevrolet,silverado 1500,like new,8 cylinders,gas,76892,clean,automatic,4wd,full-size,pickup,black,30.2933,-81.5092
