city,state,price,year,make,model,condition,cylinders,fuel,odometer,title,transmission,drive,size,type,color,lat,long
detroit metro,MI,21995,2017,gmc,terrain,excellent,6 cylinders,gas,28342,clean,automatic,fwd,mid-size,SUV,white,42.59142,-83.031
grand rapids,MI,21500,2015,cadillac,srx,excellent,6 cylinders,gas,22500,clean,automatic,4wd,full-size,SUV,black,42.8748,-85.8751
fargo ,MN,16980,2011,chevrolet,express cargo van,good,8 cylinders,gas,67922,clean,automatic,rwd,mid-size,van,blue,45.553434,-94.231841
savannah ,GA,19900,2014,mercedes-benz,benz e350,excellent,6 cylinders,gas,86000,clean,automatic,rwd,mid-size,sedan,blue,32.314,-81.3896
daytona beach,FL,27500,2016,ram,2500 4x4,excellent,8 cylinders,gas,67500,clean,automatic,4wd,full-size,pickup,silver,29.0422,-81.2863
frederick,MD,14995,2017,toyota,corolla se,excellent,4 cylinders,gas,47271,clean,automatic,fwd,mid-size,sedan,white,39.63823,-78.79433399999999
ocala,FL,1,2018,chevrolet,silverado 1500,excellent,8 cylinders,gas,29239,clean,automatic,4wd,full-size,truck,silver,28.466088,-81.396429
western maryland,MD,14995,2017,toyota,corolla se,excellent,4 cylinders,gas,47271,clean,automatic,fwd,mid-size,sedan,white,39.63823,-78.79433399999999
topeka,KS,28995,2014,gmc,sierra 1500,excellent,8 cylinders,gas,97207,clean,automatic,4wd,full-size,truck,black,38.671618,-94.36650999999999
lawton,OK,0,2007,ford,explorer,excellent,6 cylinders,gas,218452,clean,automatic,4wd,mid-size,SUV,blue,34.19709,-97.16056
ann arbor,MI,8995,2012,chevrolet,equinox,excellent,4 cylinders,gas,93162,clean,automatic,fwd,mid-size,SUV,grey,42.59142,-83.031
wichita,KS,26995,2016,ford,f-150,excellent,6 cylinders,gas,92341,clean,automatic,4wd,full-size,truck,grey,38.9142,-94.4073
North Windham,ME,8400,2013,volkswagen,passat,excellent,4 cylinders,gas,76000,clean,automatic,fwd,full-size,sedan,silver,43.6606,-70.2589
boston,MA,10490,2014,mitsubishi,outlander,excellent,4 cylinders,gas,90821,clean,automatic,4wd,mid-size,SUV,blue,42.551567,-70.981811
long island,NY,25999,2014,dodge,durango,excellent,8 cylinders,gas,63828,clean,automatic,4wd,full-size,SUV,silver,40.715321,-73.389156
eastern CT,CT,9500,2009,chevrolet,traverse,excellent,6 cylinders,gas,127562,clean,automatic,4wd,full-size,SUV,green,41.525061,-72.075562
oneonta,NY,7995,2010,ford,edge,excellent,6 cylinders,gas,120000,clean,automatic,4wd,full-size,SUV,white,42.085390999999994,-76.056076
san diego,CA,3999,2006,bmw,3 series 325i,like new,6 cylinders,gas,97000,clean,automatic,rwd,mid-size,sedan,grey,32.61732,-117.08426000000001
palm springs,CA,9995,2013,toyota,tacoma,good,4 cylinders,gas,201544,clean,automatic,rwd,full-size,truck,white,33.946412,-117.29511799999999
western slope,CO,7455,2013,toyota,corolla,good,4 cylinders,gas,139573,clean,automatic,fwd,mid-size,sedan,black,38.496514000000005,-107.897279
albany,NY,18995,2016,ford,explorer,excellent,6 cylinders,gas,83790,clean,automatic,4wd,full-size,SUV,black,42.147636999999996,-75.90009
harrisburg,PA,12995,2011,honda,pilot,excellent,6 cylinders,gas,88560,clean,automatic,4wd,full-size,SUV,custom,41.264911,-74.888325
hartford,CT,21490,2014,NaN,evoque,good,4 cylinders,gas,45199,clean,automatic,4wd,full-size,SUV,white,40.468826,-74.281734
southwest KS,MO,31550,2017,ford,f-150,excellent,8 cylinders,gas,52412,clean,automatic,4wd,full-size,truck,white,38.671618,-94.36650999999999
montgomery,AL,2600,2005,chevrolet,impala ls,good,6 cylinders,gas,201300,clean,automatic,fwd,mid-size,sedan,silver,32.4715,-86.4831
norfolk ,VA,12499,2012,bmw,335i,good,6 cylinders,gas,107000,clean,automatic,rwd,mid-size,sedan,black,36.8645,-76.3004
minneapolis ,MN,350,2002,pontiac,grand am,fair,4 cylinders,gas,226000,clean,automatic,fwd,mid-size,sedan,brown,44.9842,-92.7271
jackson,MS,15500,2011,ram,1500,good,8 cylinders,gas,48500,clean,automatic,rwd,full-size,pickup,green,32.340635999999996,-90.274658
albany,NY,8900,2009,chevrolet,tahoe,good,8 cylinders,gas,169000,clean,automatic,4wd,full-size,SUV,black,42.247,-73.7552
fargo ,MN,7200,2009,audi,a8l quattro,excellent,8 cylinders,other,206000,lien,other,4wd,full-size,sedan,black,47.1029,-95.9151
bellingham,WA,1600,2002,jaguar,x-type,excellent,6 cylinders,gas,123633,clean,automatic,4wd,mid-size,sedan,silver,48.748999999999995,-122.4887
indianapolis,IN,18900,2019,toyota,camry se,excellent,4 cylinders,gas,40000,clean,automatic,fwd,full-size,sedan,black,39.7154,-86.0933
roanoke,VA,0,2013,toyota,tacoma,excellent,6 cylinders,gas,78768,clean,automatic,4wd,mid-size,truck,blue,36.18,-80.1629
stockton,CA,11998,2016,honda,civic ex coupe,excellent,4 cylinders,gas,17000,salvage,automatic,fwd,compact,coupe,grey,38.609676,-121.43498500000001
odessa ,TX,17500,2008,ram,2500 mega cab,excellent,6 cylinders,diesel,247134,clean,automatic,4wd,full-size,truck,white,30.8119,-97.5942
Colchester,VT,7598,2011,toyota,corolla s,good,4 cylinders,gas,134150,clean,manual,fwd,compact,sedan,blue,44.439495,-73.210154
treasure coast,FL,18990,2015,ford,transit,good,6 cylinders,gas,132227,clean,automatic,rwd,mid-size,van,white,27.631375,-80.356205
worcester ,MA,25995,2013,mercedes-benz,benz s550 4matic,excellent,8 cylinders,gas,64489,clean,automatic,4wd,full-size,sedan,silver,41.9099,-72.6029
hickory ,NC,17900,2003,ford,f-250,good,8 cylinders,diesel,122767,clean,automatic,4wd,full-size,truck,grey,35.833799,-80.873632
odessa ,TX,22995,2014,bmw,5 series 535i m sport,excellent,6 cylinders,gas,84319,clean,automatic,rwd,mid-size,sedan,grey,30.3432,-97.738975
space coast,FL,0,2014,jaguar,xf,excellent,6 cylinders,gas,68419,clean,automatic,rwd,mid-size,sedan,red,28.815590000000004,-81.30914
south florida,FL,1500,2016,kia,forte,like new,4 cylinders,gas,74129,clean,automatic,fwd,full-size,sedan,black,25.774075,-80.239184
york,PA,7900,2009,toyota,sienna le,good,6 cylinders,gas,125839,clean,automatic,fwd,full-size,van,blue,39.972698,-76.695388
lake of the ozarks,MO,31995,2016,lexus,gx 460,excellent,8 cylinders,gas,79671,clean,automatic,4wd,mid-size,SUV,silver,38.671618,-94.36650999999999
boise,ID,13577,2000,ford,f-250 super duty,good,8 cylinders,diesel,150280,clean,automatic,4wd,full-size,truck,white,43.7069,-116.36200000000001
corpus christi,TX,5500,2008,dodge,nitro 4x4,good,6 cylinders,gas,165150,clean,automatic,4wd,mid-size,hatchback,black,27.6349,-97.3103
roanoke,VA,9950,2011,nissan,juke,good,4 cylinders,gas,101469,clean,automatic,4wd,full-size,SUV,silver,36.954366,-79.879737
killeen ,TX,7600,2008,nissan,pathfinder,excellent,8 cylinders,gas,139046,clean,automatic,rwd,full-size,SUV,blue,31.9116,-98.6082
lansing,MI,11599,2017,buick,regal,new,4 cylinders,gas,21000,rebuilt,automatic,fwd,full-size,sedan,silver,42.7635,-84.55799999999999
ventura county,CA,0,2017,ford,focus,excellent,4 cylinders,gas,59503,clean,automatic,fwd,compact,sedan,grey,34.26475,-119.2459
rochester,NY,22995,2013,ford,f150,like new,6 cylinders,gas,27024,clean,automatic,4wd,full-size,pickup,black,42.8851,-77.46
northwest GA,GA,26000,2006,ram,2500 laramie,excellent,8 cylinders,diesel,126000,clean,manual,4wd,full-size,pickup,grey,35.028872,-85.331497
ft myers ,FL,6000,2005,nissan,titan se crew cab 4wd,good,8 cylinders,gas,197000,clean,automatic,4wd,full-size,pickup,grey,26.419726,-81.723381
bozeman,MT,13950,2004,ford,f250 lariat 4x4,like new,8 cylinders,diesel,138750,clean,automatic,4wd,full-size,truck,white,45.777152,-108.553946
milwaukee,WI,12500,2012,ford,explorer,excellent,6 cylinders,gas,112665,clean,automatic,4wd,full-size,SUV,custom,42.946195,-88.047554
reno ,NV,7,2013,honda,civic lx sedan,excellent,4 cylinders,gas,139450,clean,automatic,fwd,full-size,sedan,grey,39.5268,-119.8113
raleigh ,NC,7600,2002,ram,2500hd,good,8 cylinders,gas,118000,clean,automatic,4wd,full-size,truck,white,35.603021000000005,-78.568554
des moines,IA,9995,2013,chevrolet,volt premium,excellent,4 cylinders,hybrid,93000,clean,automatic,fwd,mid-size,hatchback,black,41.572480999999996,-93.59691
nashville,TN,5350,2011,toyota,camry,excellent,4 cylinders,gas,117000,rebuilt,automatic,fwd,compact,sedan,black,36.0725,-86.72399999999999
watertown,NY,8900,2011,gmc,terrain,excellent,6 cylinders,gas,114768,clean,automatic,fwd,mid-size,SUV,custom,43.204762,-75.440834
anchorage ,AK,14995,2008,toyota,4runner sr5,excellent,6 cylinders,gas,168713,clean,automatic,4wd,full-size,SUV,red,61.166252,-149.857916
elko,NV,12500,2000,ram,2500,excellent,6 cylinders,diesel,206545,clean,automatic,4wd,full-size,pickup,silver,39.4972,-119.7764
green bay,WI,20990,2013,chevrolet,silverado 1500,good,8 cylinders,gas,90194,clean,automatic,4wd,full-size,truck,black,45.086311,-87.65275600000001
lynchburg,VA,18699,2015,gmc,canyon,excellent,6 cylinders,gas,125979,clean,automatic,4wd,mid-size,truck,silver,37.336777000000005,-79.239879
salina,KS,17900,2004,jeep,wrangler,excellent,6 cylinders,gas,68000,clean,automatic,4wd,full-size,SUV,red,36.6955,-93.115
fayetteville,AR,22900,2013,chevrolet,avalanche,excellent,8 cylinders,gas,111090,clean,automatic,4wd,full-size,truck,silver,36.188577,-94.13830300000001
fargo ,MN,13995,2014,ram,promaster 1500,excellent,6 cylinders,gas,134746,clean,automatic,fwd,full-size,van,white,45.832603000000006,-95.389084
harrisburg,PA,5995,2007,chevrolet,impala ltz,good,6 cylinders,gas,91441,clean,automatic,fwd,full-size,sedan,black,40.198498,-77.151635
northwest CT,CT,0,2009,chevrolet,silverado,excellent,8 cylinders,gas,125106,clean,automatic,4wd,full-size,pickup,red,41.2175,-73.0549
tri-cities,TN,2950,2005,ford,taurus,excellent,6 cylinders,gas,136769,clean,automatic,fwd,compact,sedan,custom,36.527460999999995,-82.336782
st louis,MO,30995,2014,toyota,tundra,excellent,8 cylinders,gas,93732,clean,automatic,4wd,full-size,truck,grey,39.0382,-94.5929
imperial county,CA,0,2018,dodge,challenger,excellent,6 cylinders,gas,19491,clean,automatic,rwd,mid-size,coupe,black,32.716,-115.66765
st cloud,MN,19990,2017,ford,escape,good,4 cylinders,gas,20448,clean,automatic,4wd,full-size,SUV,red,45.978572,-94.34201800000001
detroit metro,MI,13900,2017,chevrolet,traverse,excellent,6 cylinders,gas,21300,rebuilt,automatic,fwd,mid-size,SUV,black,42.370585999999996,-83.30010899999999
western massachusetts,MA,2995,2008,chevrolet,hhr,excellent,4 cylinders,gas,95000,clean,automatic,fwd,mid-size,SUV,grey,42.2618,-72.2583
raleigh ,NC,0,2006,lexus,is 250,good,6 cylinders,gas,141170,clean,automatic,rwd,full-size,sedan,white,36.011057,-78.518349
eastern CO,CO,12000,2012,nissan,frontier,excellent,6 cylinders,gas,140143,clean,automatic,4wd,mid-size,truck,white,39.566019,-105.11757800000001
rockford,IL,0,2005,gmc,yukon denali,excellent,8 cylinders,gas,179539,clean,automatic,4wd,mid-size,SUV,silver,42.3204,-88.98265
visalia,CA,6999,2001,chevrolet,silverado 1500 4x4,excellent,8 cylinders,gas,200000,clean,automatic,4wd,full-size,truck,blue,36.815639000000004,-119.69474299999999
waco,TX,26900,2016,ram,1500,excellent,8 cylinders,gas,39012,clean,automatic,rwd,mid-size,truck,black,31.9116,-98.6082
hickory ,NC,0,2016,toyota,rav4 limited awd,like new,4 cylinders,gas,55756,clean,automatic,fwd,compact,SUV,grey,35.8651,-80.8858
chico,CA,3200,2006,chevrolet,trailblazer,excellent,6 cylinders,gas,220463,clean,automatic,4wd,full-size,SUV,black,39.724585,-121.85079499999999
western slope,CO,28495,2007,chevrolet,silverado 2500hd,excellent,8 cylinders,diesel,167891,clean,automatic,4wd,full-size,truck,black,39.708535999999995,-105.024693
holland,MI,7900,2004,ford,f-150,good,8 cylinders,gas,139355,clean,automatic,4wd,full-size,truck,black,42.912954,-85.680286
norfolk ,VA,21950,2016,toyota,prius four,like new,4 cylinders,hybrid,51000,lien,automatic,fwd,mid-size,hatchback,silver,36.7978,-76.1759
buffalo,NY,7495,2011,subaru,outback 2.5i premium,excellent,4 cylinders,gas,147557,clean,automatic,4wd,mid-size,SUV,white,42.855540000000005,-78.828073
greenville ,SC,6900,2004,toyota,tacoma,good,6 cylinders,gas,300,clean,automatic,rwd,full-size,truck,white,34.8939,-81.834
Manchester,NH,7995,2013,ford,explorer,good,6 cylinders,gas,160000,clean,automatic,fwd,full-size,SUV,black,42.5959,-72.2267
green bay,WI,11990,2012,volkswagen,jetta,excellent,4 cylinders,diesel,60857,clean,automatic,fwd,compact,sedan,silver,44.4737,-88.06308
central michigan,MI,15900,2014,dodge,charger r/t,good,8 cylinders,gas,55115,clean,automatic,rwd,full-size,sedan,black,43.636712,-85.09145699999999
lafayette ,IN,7596,2005,toyota,4runner sr5 4x4,good,6 cylinders,gas,206720,clean,automatic,4wd,mid-size,SUV,black,40.444,-86.9237
norfolk ,VA,800,2005,dodge,stratus,good,4 cylinders,gas,136000,salvage,automatic,fwd,mid-size,sedan,green,37.0436,-76.3426
elmira,NY,4995,2008,ford,taurus,excellent,6 cylinders,gas,119000,clean,automatic,fwd,full-size,sedan,blue,42.085390999999994,-76.056076
greensboro,NC,5400,2008,ford,escape,good,6 cylinders,gas,166555,clean,automatic,fwd,mid-size,SUV,silver,36.0036,-80.0036
indianapolis,IN,4900,2008,toyota,sienna le,excellent,6 cylinders,gas,177000,clean,automatic,fwd,full-size,mini-van,silver,39.612274,-86.110668
birmingham,AL,18000,2009,mini,cooper john cooper works,excellent,4 cylinders,gas,80000,clean,manual,fwd,compact,hatchback,black,33.468,-87.0924
washington,DC,5800,2005,bmw,5 series 530i,excellent,6 cylinders,gas,151000,clean,automatic,rwd,mid-size,sedan,silver,38.838965,-77.310812
clarksville,TN,31999,2015,gmc,sierra,like new,8 cylinders,gas,78883,clean,automatic,4wd,full-size,truck,silver,42.8187,-85.5244
las vegas,NV,9999,2008,chevrolet,express 1500 cargo v6,excellent,6 cylinders,gas,90040,clean,automatic,rwd,full-size,van,white,36.004794,-115.268635
eastern NC,NC,21500,2017,kia,cadenza,excellent,6 cylinders,gas,38108,clean,automatic,fwd,full-size,sedan,white,35.37066,-77.92961
columbia ,MO,12995,2012,gmc,acadia,good,6 cylinders,gas,111762,clean,automatic,4wd,mid-size,SUV,silver,38.964788,-92.353898
North Providence,RI,21000,2001,ford,super duty f-350 srw,excellent,8 cylinders,diesel,67464,clean,automatic,4wd,full-size,pickup,silver,42.5796,-71.8031
spokane ,WA,13495,2011,ram,1500,excellent,8 cylinders,gas,125901,clean,automatic,4wd,full-size,truck,silver,47.657191999999995,-117.364244
nashville,TN,10000,2004,ford,f-150,good,8 cylinders,gas,175896,clean,automatic,4wd,full-size,truck,custom,35.501560999999995,-86.45741
wichita,KS,29500,2013,chevrolet,silverado 2500hd,excellent,8 cylinders,diesel,105594,clean,automatic,4wd,full-size,truck,white,36.079704,-95.865803
rochester,NY,16900,2013,volvo,xc 90,like new,6 cylinders,gas,54138,clean,automatic,4wd,full-size,SUV,brown,43.1201,-77.485486
louisville,KY,7850,2011,volkswagen,jetta se,excellent,5 cylinders,gas,8300,clean,automatic,fwd,full-size,sedan,silver,38.189033,-85.639554
little rock,AR,20900,2014,ram,1500,good,8 cylinders,gas,130913,clean,automatic,4wd,full-size,truck,white,36.087544,-94.154521
detroit metro,MI,10900,2014,lexus,ct,excellent,4 cylinders,hybrid,99519,clean,automatic,fwd,compact,hatchback,grey,42.58998,-83.03095
orange county,CA,14950,2015,ford,fusion energi titanium,like new,4 cylinders,hybrid,34628,clean,automatic,fwd,mid-size,sedan,black,33.6801,-117.9085
Colchester,VT,9985,2012,volkswagen,passat,excellent,4 cylinders,diesel,78903,clean,automatic,fwd,full-size,sedan,grey,44.463351,-73.119023
albany,NY,6995,2007,honda,pilot ex-l w/navi,good,6 cylinders,gas,154557,clean,automatic,4wd,full-size,SUV,white,42.675374,-73.78458499999999
frederick,MD,0,2006,chevrolet,tahoe,excellent,8 cylinders,gas,135277,clean,automatic,4wd,mid-size,SUV,blue,39.31228,-76.9633
fayetteville,AR,5495,2010,ford,escape,good,4 cylinders,gas,155893,clean,automatic,fwd,full-size,SUV,custom,36.1716,-94.0428
baltimore,MD,3300,2002,honda,civic si hatchback,good,4 cylinders,gas,123500,clean,manual,fwd,sub-compact,hatchback,silver,39.4332,-76.6546
pittsburgh,PA,18000,2016,ford,escape,excellent,other,gas,36694,clean,automatic,4wd,full-size,SUV,white,40.4406,-79.9959
dallas ,TX,2500,2004,mazda,tribute,excellent,6 cylinders,gas,134000,clean,automatic,fwd,mid-size,SUV,white,32.7942,-96.7475
lincoln,NE,4500,2005,acura,tl,good,6 cylinders,gas,164795,clean,automatic,fwd,mid-size,sedan,silver,40.8392,-96.6532
Colchester,VT,6998,2012,mazda,3,good,4 cylinders,gas,137251,clean,manual,fwd,mid-size,wagon,grey,44.439495,-73.210154
space coast,FL,27999,2015,lexus,rc 350,excellent,10 cylinders,gas,28370,clean,other,4wd,mid-size,coupe,blue,28.466088,-81.396429
corvallis,OR,13999,2013,volkswagen,passat tdi sel premium,like new,4 cylinders,diesel,43815,clean,automatic,fwd,mid-size,sedan,white,45.616496999999995,-122.692007
ventura county,CA,0,2018,ford,escape,excellent,4 cylinders,gas,3680,clean,automatic,fwd,mid-size,SUV,silver,34.26475,-119.2459
duluth ,MN,14995,2016,dodge,grand caravan,excellent,6 cylinders,gas,45790,clean,automatic,fwd,full-size,van,grey,46.868746,-92.154
knoxville,TN,6995,2005,toyota,4runner,good,6 cylinders,gas,224157,clean,automatic,4wd,full-size,SUV,black,35.757308,-84.03497
detroit metro,MI,9995,2014,ford,escape,excellent,4 cylinders,gas,90926,clean,automatic,fwd,mid-size,SUV,white,42.549375,-82.901781
fayetteville,AR,5000,2001,ford,f-250,good,8 cylinders,diesel,191661,salvage,automatic,rwd,full-size,pickup,white,35.922903000000005,-93.928679
northwest OK,OK,3950,2001,ford,ranger supercab xlt,good,6 cylinders,gas,231834,clean,automatic,rwd,mid-size,pickup,black,36.413333,-97.878435
boston,MA,400,2003,chevrolet,trailblazer,fair,6 cylinders,gas,200000,clean,automatic,4wd,mid-size,SUV,black,42.7792,-71.1095
akron ,OH,4985,2006,ford,f-150,good,8 cylinders,gas,159731,clean,automatic,4wd,full-size,truck,blue,41.418157,-81.750436
roseburg,OR,8500,2017,toyota,corolla,excellent,4 cylinders,gas,73800,rebuilt,automatic,fwd,compact,sedan,black,44.115922,-123.131332
houston,TX,14950,2012,dodge,durango sxt rwd,excellent,6 cylinders,gas,88050,clean,automatic,rwd,full-size,SUV,grey,29.658409999999996,-95.28877
lubbock,TX,11900,2012,ford,edge sel,excellent,6 cylinders,gas,83000,clean,automatic,rwd,full-size,SUV,black,33.376934000000006,-101.76378299999999
stillwater,OK,0,2005,audi,tt,excellent,4 cylinders,gas,132151,clean,automatic,fwd,sub-compact,convertible,blue,35.71996,-96.95391
skagit ,WA,8900,2004,honda,element ursa minor ecamper,excellent,4 cylinders,gas,200000,clean,automatic,fwd,full-size,SUV,orange,48.5454,-123.0947
mendocino county,CA,0,2015,chevrolet,camaro,excellent,8 cylinders,gas,3747,clean,automatic,rwd,sub-compact,coupe,black,39.032920000000004,-122.92535
bismarck,ND,15990,2017,chevrolet,cruze lt hatchback,like new,4 cylinders,gas,32246,clean,automatic,fwd,mid-size,hatchback,orange,47.920244,-97.044974
fayetteville,AR,7995,2010,honda,odyssey,good,6 cylinders,gas,112389,clean,automatic,fwd,full-size,van,blue,36.1716,-94.0428
san antonio,TX,3500,2004,cadillac,dts,excellent,8 cylinders,gas,92000,clean,automatic,rwd,full-size,sedan,red,29.5407,-98.5521
phoenix,AZ,7995,2006,ford,mustang gt convertible,excellent,8 cylinders,gas,112500,clean,automatic,rwd,mid-size,convertible,red,33.363978,-111.80004299999999
madison,WI,9995,2013,chevrolet,express 3500 van,good,8 cylinders,gas,142594,clean,automatic,rwd,full-size,van,white,42.6683,-89.0025
lynchburg,VA,1900,2002,volkswagen,new beetle gls,excellent,4 cylinders,gas,86018,clean,automatic,fwd,sub-compact,hatchback,blue,38.315272,-77.474106
western slope,CO,14700,2008,gmc,yukon slt,excellent,8 cylinders,gas,1684487,clean,automatic,4wd,full-size,SUV,white,39.082706,-108.58593799999998
wichita,KS,0,2014,ram,2500,excellent,6 cylinders,diesel,76172,clean,automatic,4wd,full-size,truck,white,36.74504,-95.93251
bend,OR,6995,2007,mercedes-benz,m-class,good,6 cylinders,gas,163506,clean,automatic,4wd,mid-size,SUV,blue,44.037346,-121.287609
western massachusetts,MA,3100,2005,ford,e250 econoline,fair,8 cylinders,gas,200000,clean,automatic,rwd,full-size,van,white,42.1251,-72.7495
phoenix,AZ,6000,2008,bmw,x5 3.0i,like new,6 cylinders,gas,162000,clean,automatic,4wd,mid-size,SUV,grey,33.399988,-112.62771599999999
modesto,CA,10995,2014,ford,flex se,like new,6 cylinders,gas,141803,clean,automatic,fwd,full-size,SUV,blue,37.765104,-120.850714
dallas ,TX,19999,2011,toyota,tundra 2wd truck trd pkg,excellent,8 cylinders,gas,73604,clean,automatic,rwd,full-size,pickup,white,32.805054,-97.25654200000001
asheville,NC,12499,2013,volkswagen,jetta gli,excellent,4 cylinders,gas,89500,clean,manual,rwd,compact,sedan,silver,35.6819,-82.01799999999999
asheville,NC,12995,2005,chevrolet,tahoe 4wd v8 z71,excellent,8 cylinders,gas,115484,clean,automatic,4wd,full-size,SUV,black,35.190556,-83.368454
akron ,OH,8993,2012,volkswagen,tiguan s,excellent,4 cylinders,gas,89116,clean,automatic,fwd,mid-size,SUV,black,41.039547,-81.433337
inland empire,CA,30995,2015,chevrolet,silverado 1500,good,8 cylinders,gas,26570,clean,automatic,rwd,full-size,truck,black,33.946412,-117.29511799999999
orlando,FL,0,2012,kia,optima,excellent,4 cylinders,gas,96558,clean,automatic,fwd,mid-size,sedan,white,28.55162,-81.42449
grand rapids,MI,8850,2008,chevrolet,silverado 1500,good,8 cylinders,gas,181000,clean,automatic,4wd,full-size,truck,white,42.972522999999995,-85.824745
rochester,NY,5995,2004,toyota,sequoia limited,excellent,8 cylinders,gas,196000,clean,automatic,4wd,full-size,SUV,grey,43.224265,-77.83847800000001
charleston,SC,2950,2007,chevrolet,impala lt,good,6 cylinders,gas,100329,clean,automatic,fwd,mid-size,sedan,red,32.7993,-80.006
omaha ,NE,7200,2010,chrysler,town country touring,excellent,6 cylinders,gas,114008,clean,automatic,fwd,full-size,SUV,white,41.1523,-96.0371
san diego,CA,7395,2007,mercedes-benz,ml350 sport pkg,excellent,6 cylinders,gas,137501,clean,automatic,rwd,full-size,sedan,white,32.784586,-116.977884
joplin,MO,13900,2006,ford,f-250 sd,excellent,8 cylinders,diesel,146000,clean,automatic,4wd,full-size,truck,custom,36.6955,-93.115
phoenix,AZ,3400,2006,buick,lacrosse,good,6 cylinders,gas,92896,clean,automatic,fwd,full-size,sedan,grey,33.5623,-112.0559
knoxville,TN,5991,2006,gmc,sierra 1500,good,8 cylinders,gas,343000,clean,automatic,4wd,full-size,truck,red,35.755959999999995,-83.932701
san diego,CA,7295,2010,mazda,cx-7 grand touring awd,excellent,4 cylinders,gas,88381,clean,automatic,4wd,full-size,SUV,silver,32.72462,-117.190304
gainesville,FL,1,2015,mitsubishi,lancer,excellent,10 cylinders,gas,67110,clean,other,4wd,compact,sedan,black,28.466088,-81.396429
ithaca,NY,24995,2016,ford,transit,good,6 cylinders,gas,67891,clean,automatic,rwd,mid-size,van,white,43.219605,-77.818015
green bay,WI,13500,2010,gmc,canyon sle,excellent,5 cylinders,gas,101689,clean,automatic,4wd,mid-size,pickup,red,44.610504,-88.049143
albuquerque,NM,10995,2014,kia,sportage,good,6 cylinders,gas,115187,clean,automatic,4wd,full-size,SUV,brown,34.851898,-106.69071000000001
omaha ,NE,27884,2012,ram,3500 st,good,6 cylinders,diesel,84470,clean,automatic,4wd,full-size,truck,grey,41.2117,-96.6219
Honolulu,HI,3500,2008,chevrolet,impala,fair,6 cylinders,gas,92000,clean,automatic,fwd,mid-size,sedan,white,21.3274,-158.0103
battle creek,MI,3900,2011,ford,escape,good,6 cylinders,gas,173000,clean,automatic,4wd,mid-size,SUV,silver,42.337204,-85.155082
bakersfield,CA,27900,2012,jeep,wrangler unlimited,excellent,6 cylinders,gas,52000,clean,automatic,4wd,full-size,SUV,white,35.607499,-117.68500800000001
daytona beach,FL,18500,2002,ford,thunderbird,excellent,8 cylinders,gas,59319,clean,automatic,rwd,mid-size,convertible,yellow,29.2219,-81.0095
raleigh ,NC,18755,2017,ram,promaster city cargo van,excellent,4 cylinders,gas,16316,clean,automatic,fwd,compact,van,white,36.6434,-76.242
lehigh valley,PA,2900,2003,jaguar,x-type,good,6 cylinders,gas,115000,clean,automatic,4wd,mid-size,sedan,silver,40.617145,-75.441592
salt lake city,UT,16900,2013,dodge,durango r/t,excellent,6 cylinders,gas,74000,rebuilt,automatic,4wd,full-size,SUV,black,40.265388,-111.68071
jacksonville,NC,15900,2007,ram,3500,good,6 cylinders,diesel,205236,clean,other,4wd,full-size,truck,black,34.254274,-77.84904399999999
space coast,FL,7200,2011,kia,sorento lx,good,6 cylinders,gas,112368,clean,automatic,fwd,mid-size,SUV,blue,28.358384,-80.609573
rochester,NY,10200,2011,toyota,camry,excellent,4 cylinders,gas,75000,clean,automatic,fwd,mid-size,sedan,grey,43.0892,-77.436
rockford,IL,12500,2011,gmc,sierra,good,8 cylinders,gas,130000,clean,automatic,4wd,full-size,truck,brown,42.27406,-89.02771
ocala,FL,9500,2000,ford,f250 super duty,good,8 cylinders,diesel,194354,clean,automatic,4wd,full-size,truck,white,29.247934000000004,-81.046036
green bay,WI,10995,2011,cadillac,srx,excellent,6 cylinders,gas,122824,clean,automatic,4wd,mid-size,SUV,silver,44.610504,-88.049143
indianapolis,IN,13987,2011,chevrolet,colorado crew cab,excellent,5 cylinders,gas,133738,clean,automatic,4wd,mid-size,truck,silver,39.78347,-85.806306
laredo,TX,3800,2008,ford,ranger 2wd,good,6 cylinders,gas,204694,clean,automatic,rwd,compact,truck,white,27.850069,-99.668883
North Windham,ME,27992,2017,toyota,tacoma sr5,excellent,6 cylinders,gas,32006,clean,automatic,4wd,mid-size,pickup,white,43.5835,-70.3457
fort smith,AR,12900,2006,toyota,tundra sr5,good,8 cylinders,gas,100020,clean,automatic,rwd,full-size,truck,grey,35.463438000000004,-94.275913
minneapolis ,MN,12500,2013,nissan,maxima 3.5 sv,excellent,6 cylinders,gas,72000,lien,automatic,fwd,full-size,sedan,black,45.2825,-93.4186
winchester,VA,9990,2010,bmw,x3 3.0si awd,excellent,6 cylinders,gas,81831,clean,automatic,4wd,full-size,SUV,black,38.9268,-78.1796
rapid city ,SD,10990,2007,chevrolet,silverado,excellent,8 cylinders,gas,152777,clean,automatic,4wd,full-size,truck,silver,44.4946,-103.865
florence,SC,0,2015,gmc,sierra 1500 4x4 truck loaded nice easiest financin,excellent,8 cylinders,gas,71516,clean,automatic,4wd,full-size,pickup,black,36.114588,-80.063665
daytona beach,FL,1,2018,dodge,journey,excellent,6 cylinders,gas,26000,clean,automatic,4wd,full-size,SUV,grey,28.466088,-81.396429
central NJ,NJ,12600,2014,mitsubishi,outlander,excellent,4 cylinders,gas,41995,clean,automatic,4wd,mid-size,SUV,grey,40.5353,-74.590744
